Ortsnetzkennzahl,Ortsnetzname,Bundesland,PLZ
0049201,Essen,Nordrhein-Westfalen,45127; 45128; 45130; 45131; 45133; 45134; 45136; 45138; 45139; 45141; 45143; 45144; 45145; 45147; 45149; 45219; 45239; 45257; 45259; 45276; 45277; 45279; 45289; 45307; 45309; 45326; 45327; 45329; 45355; 45356; 45357; 45359
0049202,Wuppertal,Nordrhein-Westfalen,42103; 42105; 42107; 42109; 42111; 42113; 42115; 42117; 42119; 42275; 42277; 42279; 42281; 42283; 42285; 42287; 42289; 42327; 42329; 42349; 42369; 42389; 42399
0049203,Duisburg,Nordrhein-Westfalen,47051; 47053; 47055; 47057; 47058; 47059; 47119; 47137; 47138; 47139; 47166; 47167; 47169; 47178; 47179; 47198; 47199; 47226; 47228; 47229; 47239; 47249; 47259; 47269; 47279
00492041,Bottrop,Nordrhein-Westfalen,46236; 46238; 46240; 46242; 46244
00492043,Gladbeck,Nordrhein-Westfalen,45964; 45966; 45968
00492045,Bottrop-Kirchhellen,Nordrhein-Westfalen,NA
00492051,Velbert,Nordrhein-Westfalen,42549; 42551; 42553; 42555
00492052,Velbert-Langenberg,Nordrhein-Westfalen,NA
00492053,Velbert-Neviges,Nordrhein-Westfalen,NA
00492054,Essen-Kettwig,Nordrhein-Westfalen,NA
00492056,Heiligenhaus,Nordrhein-Westfalen,42579; 42579
00492058,Wülfrath,Nordrhein-Westfalen,42489
00492064,Dinslaken,Nordrhein-Westfalen,46535; 46537; 46539
00492065,Duisburg-Rheinhausen,Nordrhein-Westfalen,NA
00492066,Duisburg-Homberg,Nordrhein-Westfalen,NA
0049208,Oberhausen Rheinl,Nordrhein-Westfalen,45468; 45470; 45472; 45473; 45475; 45476; 45478; 45479; 45481; 46045; 46047; 46049; 46117; 46119; 46145; 46147; 46149
0049209,Gelsenkirchen,Nordrhein-Westfalen,45879; 45881; 45883; 45884; 45886; 45888; 45889; 45891; 45892; 45894; 45896; 45897; 45899
00492102,Ratingen,Nordrhein-Westfalen,40472; 40878; 40880; 40882; 40883; 40885
00492103,Hilden,Nordrhein-Westfalen,40721; 40723; 40724
00492104,Mettmann,Nordrhein-Westfalen,40822
0049211,Düsseldorf,Nordrhein-Westfalen,40210; 40211; 40212; 40213; 40215; 40217; 40219; 40221; 40223; 40225; 40227; 40229; 40231; 40233; 40235; 40237; 40239; 40468; 40470; 40472; 40474; 40476; 40477; 40479; 40489; 40545; 40547; 40549; 40589; 40591; 40593; 40595; 40597; 40599; 40625; 40627; 40629; 40721; 40699
0049212,Solingen,Nordrhein-Westfalen,42651; 42653; 42655; 42657; 42659; 42697; 42699; 42719
00492131,Neuss,Nordrhein-Westfalen,41564; 41460; 41462; 41464; 41466; 41468; 41469; 41470; 41472
00492132,Meerbusch-Büderich,Nordrhein-Westfalen,NA
00492133,Dormagen,Nordrhein-Westfalen,41539; 41540; 41541; 41542
00492137,Neuss-Norf,Nordrhein-Westfalen,NA
0049214,Leverkusen,Nordrhein-Westfalen,51371; 51373; 51375; 51377; 51379; 51381
00492150,Meerbusch-Lank,Nordrhein-Westfalen,40667; 40668; 40670
00492151,Krefeld,Nordrhein-Westfalen,47798; 47799; 47800; 47802; 47803; 47804; 47805; 47807; 47809; 47829; 47839; 47918
00492152,Kempen,Nordrhein-Westfalen,47906
00492153,Nettetal-Lobberich,Nordrhein-Westfalen,41334
00492154,Willich,Nordrhein-Westfalen,47877
00492156,Willich-Anrath,Nordrhein-Westfalen,NA
00492157,Nettetal-Kaldenkirchen,Nordrhein-Westfalen,NA
00492158,Grefrath b Krefeld,Nordrhein-Westfalen,47929
00492159,Meerbusch-Osterath,Nordrhein-Westfalen,NA
00492161,Mönchengladbach,Nordrhein-Westfalen,41352; 41061; 41063; 41065; 41066; 41068; 41069; 41169; 41179; 41189; 41199; 41236; 41238; 41239
00492162,Viersen,Nordrhein-Westfalen,41747; 41748; 41749; 41751
00492163,Schwalmtal Niederrhein,Nordrhein-Westfalen,41379; 41372; 41366
00492164,Jüchen-Otzenrath,Nordrhein-Westfalen,NA
00492165,Jüchen,Nordrhein-Westfalen,41363
00492166,Mönchengladbach-Rheydt,Nordrhein-Westfalen,NA
00492171,Leverkusen-Opladen,Nordrhein-Westfalen,NA
00492173,Langenfeld Rheinland,Nordrhein-Westfalen,40764; 40789
00492174,Burscheid Rheinl,Nordrhein-Westfalen,51399
00492175,Leichlingen Rheinland,Nordrhein-Westfalen,42799
00492181,Grevenbroich,Nordrhein-Westfalen,41515; 41516; 41517
00492182,Grevenbroich-Kapellen,Nordrhein-Westfalen,NA
00492183,Rommerskirchen,Nordrhein-Westfalen,41569
00492191,Remscheid,Nordrhein-Westfalen,42853; 42855; 42857; 42859; 42897; 42899
00492192,Hückeswagen,Nordrhein-Westfalen,42499
00492193,Dabringhausen,Nordrhein-Westfalen,NA
00492195,Radevormwald,Nordrhein-Westfalen,42477
00492196,Wermelskirchen,Nordrhein-Westfalen,42929; 42929
00492202,Bergisch Gladbach,Nordrhein-Westfalen,51427; 51429; 51465; 51467; 51469; 51519
00492203,Köln-Porz,Nordrhein-Westfalen,NA
00492204,Bensberg,Nordrhein-Westfalen,NA
00492205,Rösrath,Nordrhein-Westfalen,51503
00492206,Overath,Nordrhein-Westfalen,51491
00492207,Kürten-Dürscheid,Nordrhein-Westfalen,NA
00492208,Niederkassel,Nordrhein-Westfalen,53859
0049221,Köln,Nordrhein-Westfalen,50667; 50668; 50670; 50672; 50674; 50676; 50677; 50678; 50679; 50733; 50735; 50737; 50739; 50765; 50767; 50769; 50823; 50825; 50827; 50829; 50858; 50859; 50931; 50933; 50935; 50937; 50939; 50968; 50969; 50996; 50997; 50999; 51061; 51063; 51065; 51067; 51069; 51103; 51105; 51107; 51109; 51143; 51145; 51147; 51149; 51467
00492222,Bornheim Rheinl,Nordrhein-Westfalen,53332
00492223,Königswinter,Nordrhein-Westfalen,53639
00492224,Bad Honnef,Nordrhein-Westfalen,53604; 53572; 53572; 53619; 53572
00492225,Meckenheim Rheinl,Nordrhein-Westfalen,53340
00492226,Rheinbach,Nordrhein-Westfalen,53359; 53913
00492227,Bornheim-Merten,Nordrhein-Westfalen,NA
00492228,Remagen-Rolandseck,Nordrhein-Westfalen,NA
00492232,Brühl Rheinl,Nordrhein-Westfalen,50321
00492233,Hürth Rheinl,Nordrhein-Westfalen,50354
00492234,Frechen,Nordrhein-Westfalen,50226
00492235,Erftstadt,Nordrhein-Westfalen,50374
00492236,Wesseling Rheinl,Nordrhein-Westfalen,50389; 50389
00492237,Kerpen Rheinl-Türnich,Nordrhein-Westfalen,50169; 50170; 50171
00492238,Pulheim,Nordrhein-Westfalen,50259
00492241,Siegburg,Nordrhein-Westfalen,53757; 53721; 53840; 53842; 53844
00492242,Hennef Sieg,Nordrhein-Westfalen,53773
00492243,Eitorf,Nordrhein-Westfalen,53783
00492244,Königswinter-Oberpleis,Nordrhein-Westfalen,NA
00492245,Much,Nordrhein-Westfalen,53804
00492246,Lohmar Rheinland,Nordrhein-Westfalen,53797
00492247,Neunkirchen-Seelscheid,Nordrhein-Westfalen,53819
00492248,Hennef-Uckerath,Nordrhein-Westfalen,NA
00492251,Euskirchen,Nordrhein-Westfalen,53879; 53881
00492252,Zülpich,Nordrhein-Westfalen,53909
00492253,Bad Münstereifel,Nordrhein-Westfalen,53902
